month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage,monthly_nbhd_meals,meal_percent_fsb_covered,monthly_nbhd_meals_lasoupe,meal_percent_lasoupe_covered,whole_again_meals,meal_percent_whole_again_covered,cfs_meals,meal_percent_cfs_covered,monthly_nbhd_meals_library,meal_percent_library_covered,charitable_percent_covered
1,2022,Kennedy Heights,31,13,0,18,246.02,485.19,4714,2372,795,352,69,4.1,0.1306914,0.828223603,1.98,1,438402,1797448.2,150408.9,0.083679129,9851.4,0.022471157,0.934373889,542.5,0.001237449,1867.5,0.004259789,0,0,0,0,0,0,0.005497238
1,2022,Linwood,31,13,0,18,246.02,485.19,667.0448904,324.1798257,101.5896488,44.98970161,15.05703723,4.1,0.040850588,0.969597306,2.05,1,62035.17481,254344.2167,6425.340293,0.02526238,1405.093689,0.022649951,1.017509637,0,0,0,0,0,0,0,0,0,0,0
1,2022,Lower Price Hill,31,13,0,18,246.02,485.19,877.7270916,288.0278884,288.0278884,91.71414343,47.75199203,4.1,0.621052632,0.517487295,2.37,1,81628.61952,334677.34,86791.01916,0.259327444,3263.50757,0.039979943,0.816794682,1646.652167,0.020172486,2225,0.027257597,0,0,0,0,0,0,0.047430083
1,2022,Madisonville,31,13,0,18,246.02,485.19,10685.46577,5292.751964,1716.369809,732.0976431,342.6060606,4.1,0.099709447,0.845874785,2.041209633,1,993748.3165,4074368.098,256052.8964,0.062844812,25148.06667,0.025306273,0.93402587,13892.28442,0.013979681,500,5.03E-04,0,0,0,0,0,0,0.014482826
1,2022,Millvale,31,13,0,18,246.02,485.19,2341.34548,890.4344779,1023.773651,662.1758935,74.57953749,4.1,0.602368866,0.476951667,2.62,1,217745.1296,892755.0315,260241.3637,0.291503665,17240.07708,0.079175489,0.847630821,13928.59167,0.063967409,0,0,0,0,0,0,0,0,0.063967409
1,2022,Mt. Adams,31,13,0,18,246.02,485.19,1643,977,114,80,16,4.1,0,0.941869806,1.68,0.13,152799,626475.9,0,0,292.032,0.001911217,0.943781022,0,0,0,0,0,0,0,0,0,0,0
1,2022,Mt. Airy,31,13,0,18,246.02,485.19,8913.806968,3893.991994,2475.059451,1374.247739,386.149444,4.1,0.250267048,0.711869148,2.277665922,1,828984.048,3398834.597,472836.034,0.139117106,41193.29408,0.049691299,0.900677553,4322.379583,0.005214068,1826,0.002202696,0,0,0,0,0,0,0.007416765
1,2022,Mt. Auburn,31,13,0,18,246.02,485.19,4705,2583,603,416,113,4.1,0.14324429,0.838284446,1.705475113,1,437565,1794016.5,179520.3,0.100066137,12378.6,0.02828974,0.966640322,7605.77325,0.017382042,2796.666667,0.006391431,0,0,0,0,0,0,0.023773473
1,2022,Mt. Lookout,31,13,0,18,246.02,485.19,5009.64563,2186.556905,1170.804067,611.9989438,164.4673884,4.1,0.013461883,0.972702418,2.299967974,0.13,465897.0436,1910177.879,14281.65157,0.007476608,2362.010583,0.005069812,0.985248838,0,0,0,0,0,0,0,0,0,0,0
1,2022,Mt. Washington,31,13,0,18,246.02,485.19,12436.34362,5527.69696,3001.501673,1566.027132,764.2803732,4.1,0.114884969,0.901115514,2.223608197,0.45,1156579.957,4741977.823,308119.5672,0.064977016,24538.13803,0.021216119,0.987308649,43324.31583,0.037458989,0,0,0,0,0,0,0,0,0.037458989
1,2022,North Avondale - Paddock Hills,31,13,0,18,246.02,485.19,4240.900625,1687.943363,666.8394719,393.2685893,104.1733843,4.1,0.179003648,0.874775752,2.117322946,1,394403.7582,1617055.408,146599.1976,0.090658116,11640.14218,0.029513264,0.994947132,849.525,0.002153948,2103.5,0.005333367,0,0,0,0,0,0,0.007487315
1,2022,North Fairmount,31,13,0,18,246.02,485.19,1675.162291,804.6968974,427.8821002,176.4143198,75.05346062,4.1,0.273076923,0.710655115,2.05,1,155790.0931,638739.3816,106617.6655,0.166918885,5884.346062,0.03777099,0.91534499,4558.908333,0.029263147,401.25,0.002575581,0,0,0,0,0,0,0.031838728
1,2022,Northside,31,13,0,18,246.02,485.19,8200,4053,1354,559,240,4.1,0.098198865,0.899673792,2.025715194,1,762600,3126660,193105.62,0.061760991,18696.6,0.024516916,0.985951699,38518.62558,0.050509606,4257.5,0.005582874,0,0,0,0,0,0,0.05609248
1,2022,Oakley,31,13,0,18,246.02,485.19,11265.53423,6513.248036,1219.630191,484.9023569,118.3939394,4.1,0.019999642,0.943024935,1.708637195,1,1047694.684,4295548.202,63202.12364,0.014713401,14117.13333,0.013474473,0.971212809,0,0,245,2.34E-04,0,0,0,0,0,0,2.34E-04
1,2022,Over-the-Rhine,31,13,0,18,246.02,485.19,5657,3047,795,406,143,4.1,0.208729898,0.875445421,1.708942308,0.65,526101,2157014.1,308580.84,0.14305926,8350.29,0.015872028,1.034376709,163660.3285,0.311081577,5184.166667,0.009853938,0,0,0,0,0,0,0.320935515
